STARTTID;SLUTTID;PRISOMRÅDE;FORBRUKSGRUPPE;VOLUM_KWH;ANTALL_MÅLEPUNKT
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO1;Hytter og fritidseiendommer;63342,349;110801
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO1;Husholdning;1210554,723;1122291
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO1;Primær Industri;28483,858;7482
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO1;Sekundær Industri;466877,096;15107
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO1;Tertiære Tjenester;792292,006;96213
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO2;Hytter og fritidseiendommer;53730,113;106610
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO2;Husholdning;743182,841;634331
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO2;Primær Industri;59061,677;5761
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO2;Sekundær Industri;2051507,405;12574
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO2;Tertiære Tjenester;447443,462;70977
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO3;Hytter og fritidseiendommer;35413,704;62802
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO3;Husholdning;532541,114;412172
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO3;Primær Industri;83694,521;10290
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO3;Sekundær Industri;1689199,254;9243
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO3;Tertiære Tjenester;376216,067;52404
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO4;Hytter og fritidseiendommer;28086,124;44167
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO4;Husholdning;344774,498;245817
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO4;Primær Industri;58446,247;3977
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO4;Sekundær Industri;1146716,914;6125
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO4;Tertiære Tjenester;304957,818;40302
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO5;Hytter og fritidseiendommer;31955,616;48405
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO5;Husholdning;322498,696;260411
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO5;Primær Industri;12218,194;1953
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO5;Sekundær Industri;1053944,061;5019
2026-09-13T00:00:00+02:00;2026-09-13T01:00:00+02:00;NO5;Tertiære Tjenester;197718,016;27954
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO1;Hytter og fritidseiendommer;60394,734;110801
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO1;Husholdning;1125371,651;1122291
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO1;Primær Industri;29005,439;7482
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO1;Sekundær Industri;455693,173;15107
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO1;Tertiære Tjenester;769600,205;96213
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO2;Hytter og fritidseiendommer;51100,895;106610
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO2;Husholdning;699103,544;634331
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO2;Primær Industri;61531,362;5761
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO2;Sekundær Industri;2055972,313;12574
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO2;Tertiære Tjenester;437597,299;70977
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO3;Hytter og fritidseiendommer;34144,826;62802
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO3;Husholdning;506622,113;412172
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO3;Primær Industri;82304,700;10290
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO3;Sekundær Industri;1652887,398;9243
