Latitude (decimal degrees):	59.794
Longitude (decimal degrees):	7.568
Elevation (m):	914
Radiation database:	PVGIS-SARAH3


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,-0.65,5.86,0.0
20200101:0111,0.0,0.0,0.0,-0.45,6.21,0.0
20200101:0211,0.0,0.0,0.0,-0.68,6.14,0.0
20200101:0311,0.0,0.0,0.0,-0.78,5.86,0.0
20200101:0411,0.0,0.0,0.0,-0.88,5.45,0.0
20200101:0511,0.0,0.0,0.0,-1.16,5.24,0.0
20200101:0611,0.0,0.0,0.0,-1.6,5.1,0.0
20200101:0711,0.0,0.0,0.0,-1.48,4.34,0.0
20200101:0811,0.0,0.0,0.0,-1.48,4.34,0.0
20200101:0911,1.97,9.75,2.26,-1.36,4.28,0.0
20200101:1011,2.72,11.12,5.52,-1.31,4.0,0.0
20200101:1111,26.17,42.94,7.08,-1.2,3.72,0.0
20200101:1211,231.93,262.92,6.83,-1.03,3.86,0.0
20200101:1311,5.17,15.22,4.78,-0.62,4.07,0.0
20200101:1411,0.0,0.0,0.0,-0.67,4.07,0.0
20200101:1511,0.0,0.0,0.0,-0.75,4.07,0.0
20200101:1611,0.0,0.0,0.0,-0.5,4.48,0.0
20200101:1711,0.0,0.0,0.0,-0.24,5.03,0.0
20200101:1811,0.0,0.0,0.0,-0.07,5.24,0.0
20200101:1911,0.0,0.0,0.0,0.11,4.69,0.0
20200101:2011,0.0,0.0,0.0,0.27,4.55,0.0
20200101:2111,0.0,0.0,0.0,0.12,4.34,0.0
20200101:2211,0.0,0.0,0.0,0.03,4.48,0.0
20200101:2311,0.0,0.0,0.0,-0.01,4.48,0.0
20200102:0011,0.0,0.0,0.0,-0.34,4.34,0.0
20200102:0111,0.0,0.0,0.0,-0.3,4.34,0.0
20200102:0211,0.0,0.0,0.0,-0.35,4.28,0.0
20200102:0311,0.0,0.0,0.0,-0.48,4.14,0.0
20200102:0411,0.0,0.0,0.0,-0.43,3.79,0.0
20200102:0511,0.0,0.0,0.0,-0.68,3.38,0.0
20200102:0611,0.0,0.0,0.0,-0.81,3.03,0.0
20200102:0711,0.0,0.0,0.0,-0.62,3.17,0.0
20200102:0811,0.0,0.0,0.0,-0.54,3.31,0.0
20200102:0911,0.0,1.62,2.32,-0.14,3.59,0.0
20200102:1011,0.0,5.13,5.58,-0.11,3.59,0.0
20200102:1111,1.02,7.9,7.16,0.33,3.79,0.0
20200102:1211,0.6,6.99,6.92,0.47,4.07,0.0
20200102:1311,0.0,4.23,4.89,0.3,4.55,0.0
20200102:1411,0.0,0.0,0.0,0.27,4.62,0.0
20200102:1511,0.0,0.0,0.0,0.15,4.69,0.0
20200102:1611,0.0,0.0,0.0,0.08,4.69,0.0
20200102:1711,0.0,0.0,0.0,0.19,4.69,0.0
20200102:1811,0.0,0.0,0.0,0.1,4.97,0.0
20200102:1911,0.0,0.0,0.0,0.6,4.97,0.0
20200102:2011,0.0,0.0,0.0,0.62,4.9,0.0
20200102:2111,0.0,0.0,0.0,0.67,4.9,0.0
20200102:2211,0.0,0.0,0.0,0.65,4.69,0.0
20200102:2311,0.0,0.0,0.0,0.61,4.55,0.0
20200103:0011,0.0,0.0,0.0,0.69,4.62,0.0
20200103:0111,0.0,0.0,0.0,0.79,4.83,0.0
20200103:0211,0.0,0.0,0.0,1.07,4.69,0.0
20200103:0311,0.0,0.0,0.0,1.14,4.76,0.0
20200103:0411,0.0,0.0,0.0,0.26,5.66,0.0
20200103:0511,0.0,0.0,0.0,-1.33,5.86,0.0
20200103:0611,0.0,0.0,0.0,-2.67,6.55,0.0
20200103:0711,0.0,0.0,0.0,-2.92,6.21,0.0
20200103:0811,0.0,0.0,0.0,-3.49,6.07,0.0
20200103:0911,0.0,1.62,2.38,-3.56,6.69,0.0
20200103:1011,0.21,5.99,5.66,-3.6,6.97,0.0
20200103:1111,1.06,7.89,7.25,-4.01,6.41,0.0
20200103:1211,26.61,42.92,7.02,-4.42,6.14,0.0
20200103:1311,0.0,5.08,5.0,-4.65,6.28,0.0
20200103:1411,0.0,0.0,0.0,-4.25,6.07,0.0
20200103:1511,0.0,0.0,0.0,-4.0,6.48,0.0
20200103:1611,0.0,0.0,0.0,-3.86,7.03,0.0
20200103:1711,0.0,0.0,0.0,-4.31,7.86,0.0
20200103:1811,0.0,0.0,0.0,-4.57,7.45,0.0
20200103:1911,0.0,0.0,0.0,-3.9,4.97,0.0
