Måned,Høyeste,Laveste,Standardavvik
Januar,23414.45,16044.31,1599.451147769408
Februar,22580.13,15787.15,1370.5178956265445
Mars,21388.71,14062.85,1132.181911467545
April,18677.24,12629.49,1011.3376064139726
Mai,16529.73,11672.24,897.1865808982575
Juni,14514.56,10424.07,846.1270952782827
Juli,13918.77,8132.75,750.4582317003293
August,15308.68,10493.05,934.5194642808813
September,16173.05,11207.17,1044.542255734007
Oktober,18782.19,11980.32,1343.101181020954
November,22193.98,13137.72,2024.6072159601756
Desember,21598.76,14775.15,1399.4582155064863
